"State","Pred_Ratio_2020"
"AL","1.74695591800548"
"AK","1.39302046780428"
"AZ","0.980677843466645"
"AR","1.92633265574911"
"CA","0.391697573791522"
"CO","0.801568700165052"
"CT","0.732764983760514"
"DE","0.826492922229599"
"FL","0.98573546176494"
"GA","0.981578392170794"
"HI","0.342610726257798"
"ID","2.13155606374288"
"IL","0.623613944887632"
"IN","1.45843435230197"
"IA","1.27133077977777"
"KS","1.48795938857866"
"KY","2.03562829036625"
"LA","1.43327239677582"
"ME","0.970104472818396"
"MD","0.474157046696721"
"MA","0.53529647661215"
"MI","1.01720100923627"
"MN","0.976414330286784"
"MS","1.39724881023427"
"MO","1.54925862229236"
"MT","1.57744756183646"
"NE","1.85285821649979"
"NV","0.867759691857071"
"NH","1.0018042710877"
"NJ","0.668595169845189"
"NM","0.736114043325082"
"NY","0.523173842368599"
"NC","0.987317210394324"
"ND","2.50008497976931"
"OH","1.18700887797934"
"OK","2.23701502776044"
"OR","0.726726458937697"
"PA","0.995812524356454"
"RI","0.718764934725887"
"SC","1.24295340608238"
"SD","2.00495387859948"
"TN","1.81951495595893"
"TX","0.979619891923815"
"UT","1.250769041576"
"VT","0.48226936024439"
"VA","0.763524800971305"
"WA","0.604394043044467"
"WV","3.00631772031182"
"WI","1.00416601846608"
"WY","3.23114690012153"
