state,FoxNews
Wyoming,100
Montana,96
South Dakota,87
Alabama,80
Alaska,80
Idaho,79
Tennessee,77
South Carolina,74
North Carolina,70
Oklahoma,69
West Virginia,69
Mississippi,68
Kentucky,67
North Dakota,67
Georgia,67
Maine,67
Arizona,65
Louisiana,65
Missouri,65
Nebraska,65
Minnesota,64
Pennsylvania,63
Virginia,63
New Hampshire,63
Arkansas,62
New Mexico,62
Colorado,60
Ohio,60
Indiana,59
District of Columbia,59
Iowa,58
Delaware,57
Washington,56
Nevada,56
Connecticut,56
Florida,55
Utah,55
Wisconsin,55
Maryland,54
Kansas,53
Michigan,53
Vermont,52
Texas,52
New Jersey,49
Rhode Island,47
Massachusetts,46
Illinois,45
Oregon,45
New York,44
Hawaii,38
California,37
