Region,TrumpSearch
District of Columbia,100
Vermont,96
New Hampshire,91
Maine,89
New Jersey,89
New York,88
Pennsylvania,88
Connecticut,87
Massachusetts,86
Washington,84
Rhode Island,80
Maryland,80
Colorado,78
Virginia,77
Minnesota,77
Ohio,77
California,76
Florida,76
Delaware,75
Arizona,75
Illinois,73
New Mexico,73
Nevada,73
Montana,73
Michigan,73
Oregon,72
West Virginia,71
North Carolina,70
Missouri,70
Iowa,69
Kentucky,69
Wisconsin,68
Alaska,68
Indiana,67
Tennessee,66
Idaho,65
Georgia,64
Oklahoma,63
Nebraska,63
Hawaii,62
North Dakota,62
Alabama,62
Arkansas,61
Texas,60
Utah,60
Wyoming,59
Louisiana,58
South Dakota,58
South Carolina,56
Kansas,55
Mississippi,51
