state,wikileaks
Pennsylvania,100
New Hampshire,100
New Jersey,94
Alabama,94
Arizona,92
West Virginia,91
District of Columbia,90
Florida,90
Rhode Island,89
North Dakota,88
Tennessee,88
Ohio,87
Minnesota,86
Michigan,86
New York,86
Oklahoma,85
Vermont,85
Missouri,84
Alaska,84
Maine,84
Washington,84
Delaware,82
Connecticut,82
Kentucky,81
Louisiana,79
Virginia,78
Nebraska,77
Arkansas,77
Massachusetts,77
Georgia,77
Nevada,76
Maryland,76
North Carolina,76
Indiana,74
Illinois,74
Hawaii,73
California,73
South Dakota,72
South Carolina,71
Colorado,71
Texas,71
Oregon,70
Kansas,70
Idaho,70
Mississippi,69
New Mexico,69
Iowa,68
Wisconsin,67
Montana,65
Wyoming,64
Utah,63
